ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000137486	ENSG00000142192	0.40	PPI	undirected	PIA
ENSG00000186868	ENSG00000142192	0.66	PPI	undirected	PIA
ENSG00000142192	ENSG00000142192	0.75	PPI	undirected	PIA
ENSG00000107282	ENSG00000142192	0.46	PPI	undirected	PIA
ENSG00000142192	ENSG00000142192	0.75	PPI	undirected	PIA
ENSG00000170345	ENSG00000142192	0.52	PPI	undirected	PIA
ENSG00000107282	ENSG00000142192	0.46	PPI	undirected	PIA
ENSG00000142192	ENSG00000142192	0.75	PPI	undirected	PIA
ENSG00000154917	ENSG00000142192	0.27	PPI	undirected	PIA
ENSG00000125384	ENSG00000142192	0.40	PPI	undirected	PIA
ENSG00000177606	ENSG00000142192	0.40	PPI	undirected	PIA
ENSG00000142192	ENSG00000142192	0.75	PPI	undirected	PIA
ENSG00000186868	ENSG00000142192	0.44	PPI	undirected	PIA
ENSG00000181773	ENSG00000142192	0.52	PPI	undirected	PIA
ENSG00000135679	ENSG00000142192	0.40	PPI	undirected	PIA
ENSG00000171867	ENSG00000142192	0.64	PPI	undirected	PIA
ENSG00000186868	ENSG00000142192	0.66	PPI	undirected	PIA
ENSG00000171867	ENSG00000142192	0.44	PPI	undirected	PIA
ENSG00000170345	ENSG00000142192	0.52	PPI	undirected	PIA
ENSG00000171867	ENSG00000142192	0.40	PPI	undirected	PIA
ENSG00000087258	ENSG00000142192	0.40	PPI	undirected	PIA
ENSG00000171867	ENSG00000142192	0.56	PPI	undirected	PIA
ENSG00000067955	ENSG00000142192	0.40	PPI	undirected	PIA
ENSG00000142192	ENSG00000142192	0.75	PPI	undirected	PIA
ENSG00000188906	ENSG00000005022	0.56	PPI	undirected	PIA
ENSG00000188906	ENSG00000005022	0.56	PPI	undirected	PIA
ENSG00000154237	ENSG00000137818	0.35	PPI	undirected	PIA
ENSG00000125618	ENSG00000177600	0.40	PPI	undirected	PIA
ENSG00000124214	ENSG00000089157	0.68	PPI	undirected	PIA
ENSG00000188906	ENSG00000089157	0.35	PPI	undirected	PIA
ENSG00000107175	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000187514	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000134954	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000084764	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000135679	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000115966	ENSG00000177606	0.74	PPI	undirected	PIA
ENSG00000170345	ENSG00000177606	0.94	PPI	undirected	PIA
ENSG00000204469	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000142192	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000095066	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000196230	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000107175	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000170345	ENSG00000177606	0.94	PPI	undirected	PIA
ENSG00000103657	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000090372	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000115966	ENSG00000177606	0.74	PPI	undirected	PIA
ENSG00000080824	ENSG00000177606	0.57	PPI	undirected	PIA
ENSG00000067955	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000134121	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000090372	ENSG00000177606	0.52	PPI	undirected	PIA
