ensg1	ensg2	score	interaction
ENSG00000138100	ENSG00000165325	0.56	PPI
ENSG00000163848	ENSG00000165325	0.56	PPI
ENSG00000143368	ENSG00000087365	0.56	PPI
ENSG00000173039	ENSG00000023445	0.64	PPI
ENSG00000141510	ENSG00000026508	0.52	PPI
ENSG00000270276	ENSG00000049768	0.64	PPI
ENSG00000158406	ENSG00000049768	0.64	PPI
ENSG00000275126	ENSG00000049768	0.64	PPI
ENSG00000276180	ENSG00000049768	0.64	PPI
ENSG00000276966	ENSG00000049768	0.64	PPI
ENSG00000273542	ENSG00000049768	0.64	PPI
ENSG00000274618	ENSG00000049768	0.64	PPI
ENSG00000115415	ENSG00000049768	0.5	PPI
ENSG00000197837	ENSG00000049768	0.64	PPI
ENSG00000270882	ENSG00000049768	0.64	PPI
ENSG00000197238	ENSG00000049768	0.64	PPI
ENSG00000278637	ENSG00000049768	0.64	PPI
ENSG00000277157	ENSG00000049768	0.64	PPI
ENSG00000197061	ENSG00000049768	0.64	PPI
ENSG00000278705	ENSG00000049768	0.64	PPI
ENSG00000188486	ENSG00000075624	0.46	PPI
ENSG00000096717	ENSG00000075624	0.46	PPI
ENSG00000106462	ENSG00000075624	0.46	PPI
ENSG00000118058	ENSG00000078399	0.73	PPI
ENSG00000136997	ENSG00000084774	0.53	PPI
ENSG00000173039	ENSG00000090339	0.53	PPI
ENSG00000185591	ENSG00000095794	0.53	PPI
ENSG00000157554	ENSG00000096060	0.53	PPI
ENSG00000173039	ENSG00000100906	0.84	PPI
ENSG00000177606	ENSG00000100985	0.53	PPI
ENSG00000141646	ENSG00000101665	0.53	PPI
ENSG00000157933	ENSG00000101665	0.53	PPI
ENSG00000134371	ENSG00000102145	0.46	PPI
ENSG00000169083	ENSG00000104419	0.53	PPI
ENSG00000173039	ENSG00000108691	0.53	PPI
ENSG00000173039	ENSG00000109471	0.53	PPI
ENSG00000101096	ENSG00000109471	0.53	PPI
ENSG00000116478	ENSG00000109471	0.53	PPI
ENSG00000095794	ENSG00000109471	0.53	PPI
ENSG00000100644	ENSG00000112715	0.73	PPI
ENSG00000141510	ENSG00000115129	0.53	PPI
ENSG00000118058	ENSG00000122592	0.53	PPI
ENSG00000168610	ENSG00000124762	0.64	PPI
ENSG00000141510	ENSG00000124762	0.9	PPI
ENSG00000173039	ENSG00000124762	0.53	PPI
ENSG00000100393	ENSG00000124762	0.53	PPI
ENSG00000115415	ENSG00000125347	0.53	PPI
ENSG00000137309	ENSG00000134460	0.52	PPI
ENSG00000126561	ENSG00000134460	0.52	PPI
