ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000152778	ENSG00000196365	0.37	PPI	undirected	ADIA
ENSG00000119917	ENSG00000196365	0.37	PPI	undirected	ADIA
ENSG00000105982	ENSG00000196365	0.37	PPI	undirected	ADIA
ENSG00000198938	ENSG00000145335	0.51	PPI	undirected	ADIA
ENSG00000182871	ENSG00000182871	0.64	PPI	undirected	ADIA
ENSG00000137801	ENSG00000182871	0.44	PPI	undirected	ADIA
ENSG00000182871	ENSG00000182871	0.64	PPI	undirected	ADIA
ENSG00000142192	ENSG00000182871	0.44	PPI	undirected	ADIA
ENSG00000182871	ENSG00000182871	0.64	PPI	undirected	ADIA
ENSG00000198959	ENSG00000182871	0.44	PPI	undirected	ADIA
ENSG00000182871	ENSG00000182871	0.64	PPI	undirected	ADIA
ENSG00000182871	ENSG00000182871	0.64	PPI	undirected	ADIA
ENSG00000182871	ENSG00000182871	0.64	PPI	undirected	ADIA
ENSG00000142192	ENSG00000181773	0.52	PPI	undirected	ADIA
ENSG00000142192	ENSG00000073969	0.35	PPI	undirected	ADIA
ENSG00000142192	ENSG00000073969	0.35	PPI	undirected	ADIA
ENSG00000167755	ENSG00000126545	0.44	PPI	undirected	ADIA
ENSG00000168539	ENSG00000137486	0.35	PPI	undirected	ADIA
ENSG00000181773	ENSG00000137486	0.35	PPI	undirected	ADIA
ENSG00000137486	ENSG00000137486	0.53	PPI	undirected	ADIA
ENSG00000125384	ENSG00000137486	0.35	PPI	undirected	ADIA
ENSG00000137486	ENSG00000137486	0.53	PPI	undirected	ADIA
ENSG00000141480	ENSG00000137486	0.67	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080815	0.63	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080815	0.63	PPI	undirected	ADIA
ENSG00000162736	ENSG00000080815	0.40	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080815	0.40	PPI	undirected	ADIA
ENSG00000105401	ENSG00000080815	0.48	PPI	undirected	ADIA
ENSG00000117362	ENSG00000080815	0.40	PPI	undirected	ADIA
ENSG00000100380	ENSG00000080815	0.48	PPI	undirected	ADIA
