ensg1	ensg2
ENSG00000068976	ENSG00000136869
ENSG00000068976	ENSG00000136928
ENSG00000068976	ENSG00000139998
ENSG00000068976	ENSG00000140575
ENSG00000068976	ENSG00000141232
ENSG00000068976	ENSG00000143162
ENSG00000068976	ENSG00000143819
ENSG00000068976	ENSG00000145390
ENSG00000068976	ENSG00000146842
ENSG00000068976	ENSG00000147065
ENSG00000068976	ENSG00000148082
ENSG00000068976	ENSG00000148180
ENSG00000068976	ENSG00000151012
ENSG00000068976	ENSG00000153208
ENSG00000068976	ENSG00000154096
ENSG00000068976	ENSG00000164111
ENSG00000068976	ENSG00000164885
ENSG00000068976	ENSG00000165449
ENSG00000068976	ENSG00000166432
ENSG00000068976	ENSG00000166482
ENSG00000068976	ENSG00000166501
ENSG00000068976	ENSG00000167535
ENSG00000068976	ENSG00000173706
ENSG00000068976	ENSG00000174145
ENSG00000068976	ENSG00000176871
ENSG00000068976	ENSG00000177119
ENSG00000068976	ENSG00000197747
ENSG00000068976	ENSG00000204287
ENSG00000068976	ENSG00000231991
ENSG00000069424	ENSG00000104361
ENSG00000069424	ENSG00000106123
ENSG00000069424	ENSG00000107679
ENSG00000069424	ENSG00000113327
ENSG00000069424	ENSG00000116133
ENSG00000069424	ENSG00000123119
ENSG00000069424	ENSG00000138134
ENSG00000069424	ENSG00000138378
ENSG00000069424	ENSG00000138623
ENSG00000069424	ENSG00000139190
ENSG00000069424	ENSG00000141750
ENSG00000069424	ENSG00000144285
ENSG00000069424	ENSG00000146352
ENSG00000069424	ENSG00000151090
ENSG00000069424	ENSG00000156486
ENSG00000069424	ENSG00000157214
ENSG00000069424	ENSG00000157219
ENSG00000069424	ENSG00000161048
ENSG00000069424	ENSG00000162374
ENSG00000069424	ENSG00000162989
ENSG00000069424	ENSG00000164794
ENSG00000069424	ENSG00000164830
ENSG00000069424	ENSG00000164951
ENSG00000069424	ENSG00000168481
ENSG00000069424	ENSG00000168490
ENSG00000069424	ENSG00000172031
ENSG00000069424	ENSG00000183807
ENSG00000069424	ENSG00000196542
ENSG00000069712	ENSG00000073969
ENSG00000069712	ENSG00000078725
ENSG00000069712	ENSG00000104888
ENSG00000069712	ENSG00000105223
ENSG00000069712	ENSG00000106367
ENSG00000069712	ENSG00000117069
ENSG00000069712	ENSG00000122733
ENSG00000069712	ENSG00000125841
ENSG00000069712	ENSG00000132932
ENSG00000069712	ENSG00000145934
ENSG00000069712	ENSG00000150086
ENSG00000069712	ENSG00000154277
ENSG00000069712	ENSG00000157152
ENSG00000069712	ENSG00000159720
ENSG00000069712	ENSG00000162188
ENSG00000069712	ENSG00000164885
ENSG00000069712	ENSG00000166111
ENSG00000069712	ENSG00000185274
ENSG00000069712	ENSG00000185883
ENSG00000069712	ENSG00000186642
ENSG00000069712	ENSG00000187446
ENSG00000069712	ENSG00000197872
ENSG00000069712	ENSG00000221890
ENSG00000070214	ENSG00000150656
ENSG00000070540	ENSG00000157404
ENSG00000070808	ENSG00000104361
ENSG00000070808	ENSG00000116133
ENSG00000070808	ENSG00000157219
ENSG00000070808	ENSG00000162374
ENSG00000070808	ENSG00000185274
ENSG00000070808	ENSG00000214776
ENSG00000070961	ENSG00000104888
ENSG00000070961	ENSG00000154277
ENSG00000072201	ENSG00000073969
ENSG00000072201	ENSG00000105223
ENSG00000072201	ENSG00000105409
ENSG00000072201	ENSG00000113327
ENSG00000072201	ENSG00000116133
ENSG00000072201	ENSG00000123119
ENSG00000072201	ENSG00000125841
ENSG00000072201	ENSG00000133083
ENSG00000072201	ENSG00000147416
ENSG00000072201	ENSG00000154277
ENSG00000072201	ENSG00000157064
ENSG00000072201	ENSG00000159720
ENSG00000072201	ENSG00000168490
ENSG00000072201	ENSG00000170027
ENSG00000072201	ENSG00000197106
ENSG00000072274	ENSG00000133321
ENSG00000072657	ENSG00000154277
