"","Gene1","Gene2","Int.Alz.PPI.d.","Int.Alz.PPI.j.","Int.all.PPI.d.","Int.all.PPI.j.","CoExp.d.","CoExp.j.","Int.syn.d.","Int.syn.j.","Int.Par.PPI.d.","Int.Par.PPI.j.","Dif.Co.d.","Dif.Co.j.","Alz.ptw.1","Alz.ptw.2","Alz.DISEASES.1","Alz.DISEASES.2"
"161","ENSG00000142192","ENSG00000167755",1,0.0238095238095238,0,0,0,0,1,0.0350877192982456,0,0,0,0,"True","False","True","False"
"162","ENSG00000142192","ENSG00000164924",1,0.0394736842105263,0.5,0.027027027027027,0,0,1,0.0428571428571429,0.333333333333333,0,0,0,"True","False","True","False"
"163","ENSG00000142192","ENSG00000105329",1,0.0266666666666667,1,0.0645161290322581,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","True"
"164","ENSG00000142192","ENSG00000181773",1,0.0394736842105263,0,0,0,0,0,0,1,0.166666666666667,0,0,"True","False","True","False"
"165","ENSG00000142192","ENSG00000084234",1,0.08,0.333333333333333,0,0,0,0.5,0.06,0.5,0.0454545454545455,0,0,"True","False","True","True"
"166","ENSG00000185339","ENSG00000157212",1,0.285714285714286,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"167","ENSG00000114491","ENSG00000164867",1,0.111111111111111,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"168","ENSG00000114491","ENSG00000080815",1,0.0689655172413793,0,0,0,0,0,0,0,0,0,0,"False","True","False","True"
"169","ENSG00000114491","ENSG00000157212",1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,"False","False","False","False"
"170","ENSG00000114491","ENSG00000175899",1,0.148148148148148,0,0,0,0,0,0,0,0,0,0,"False","False","False","True"
"171","ENSG00000182333","ENSG00000143801",1,0.117647058823529,0,0,0,0,0,0,0,0,0,0,"False","True","False","True"
